Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","170.974","45,17%"
"GALICIA","MULLERES","207.505","54,83%"

"A.S. A CORUÑA E CEE","HOMES","37.878","44,83%"
"A.S. A CORUÑA E CEE","MULLERES","46.609","55,17%"
"A.S. FERROL","HOMES","12.370","44,59%"
"A.S. FERROL","MULLERES","15.369","55,41%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.264","44,72%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.817","55,28%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.585","44,29%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.895","55,71%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.353","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.258","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.536","45,79%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.678","54,21%"
"A.S. VIGO","HOMES","38.873","45,94%"
"A.S. VIGO","MULLERES","45.751","54,06%"
"SEN A.S. ASIGNADA","HOMES","115","47,33%"
"SEN A.S. ASIGNADA","MULLERES","128","52,67%"
