Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","47.233","46,32%"
"GALICIA","MULLERES","54.733","53,68%"

"A.S. A CORUÑA E CEE","HOMES","11.148","46,59%"
"A.S. A CORUÑA E CEE","MULLERES","12.781","53,41%"
"A.S. FERROL","HOMES","3.442","45,6%"
"A.S. FERROL","MULLERES","4.106","54,4%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.086","46,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","5.899","53,7%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","5.917","45,77%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.012","54,23%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.227","46,48%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.018","53,52%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.154","47%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.067","53%"
"A.S. VIGO","HOMES","9.259","46,04%"
"A.S. VIGO","MULLERES","10.850","53,96%"
