Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","17.860","45,74%"
"GALICIA","MULLERES","21.183","54,26%"

"A.S. A CORUÑA E CEE","HOMES","4.198","46,09%"
"A.S. A CORUÑA E CEE","MULLERES","4.911","53,91%"
"A.S. FERROL","HOMES","1.066","43,87%"
"A.S. FERROL","MULLERES","1.364","56,13%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","2.127","45,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","2.572","54,74%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","2.885","44,16%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","3.648","55,84%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","1.801","46,9%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","2.039","53,1%"
"A.S. SANTIAGO E BARBANZA","HOMES","2.717","46,6%"
"A.S. SANTIAGO E BARBANZA","MULLERES","3.114","53,4%"
"A.S. VIGO","HOMES","3.066","46,45%"
"A.S. VIGO","MULLERES","3.535","53,55%"
