Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","140.691","45,98%"
"GALICIA","MULLERES","165.310","54,02%"

"A.S. A CORUÑA E CEE","HOMES","30.533","45,98%"
"A.S. A CORUÑA E CEE","MULLERES","35.869","54,02%"
"A.S. FERROL","HOMES","9.336","45,73%"
"A.S. FERROL","MULLERES","11.078","54,27%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","15.335","45,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","18.481","54,65%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","16.797","44,98%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","20.550","55,02%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","16.410","46,08%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","19.204","53,92%"
"A.S. SANTIAGO E BARBANZA","HOMES","18.686","46,4%"
"A.S. SANTIAGO E BARBANZA","MULLERES","21.584","53,6%"
"A.S. VIGO","HOMES","33.554","46,56%"
"A.S. VIGO","MULLERES","38.515","53,44%"
"SEN A.S. ASIGNADA","HOMES","40","57,97%"
"SEN A.S. ASIGNADA","MULLERES","29","42,03%"
