Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","168.752","45,11%"
"GALICIA","MULLERES","205.298","54,89%"

"A.S. A CORUÑA E CEE","HOMES","37.311","44,79%"
"A.S. A CORUÑA E CEE","MULLERES","45.986","55,21%"
"A.S. FERROL","HOMES","12.181","44,53%"
"A.S. FERROL","MULLERES","15.171","55,47%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.882","44,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.495","55,44%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.344","44,2%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.683","55,8%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.179","45,36%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.101","54,64%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.278","45,77%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.399","54,23%"
"A.S. VIGO","HOMES","38.462","45,9%"
"A.S. VIGO","MULLERES","45.332","54,1%"
"SEN A.S. ASIGNADA","HOMES","115","46,75%"
"SEN A.S. ASIGNADA","MULLERES","131","53,25%"
