Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","167.221","45,08%"
"GALICIA","MULLERES","203.752","54,92%"

"A.S. A CORUÑA E CEE","HOMES","36.897","44,76%"
"A.S. A CORUÑA E CEE","MULLERES","45.540","55,24%"
"A.S. FERROL","HOMES","12.041","44,48%"
"A.S. FERROL","MULLERES","15.029","55,52%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.698","44,55%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.269","55,45%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.210","44,15%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.570","55,85%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.030","45,3%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.982","54,7%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.038","45,71%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.178","54,29%"
"A.S. VIGO","HOMES","38.189","45,88%"
"A.S. VIGO","MULLERES","45.052","54,12%"
"SEN A.S. ASIGNADA","HOMES","118","47,2%"
"SEN A.S. ASIGNADA","MULLERES","132","52,8%"
