Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","172.193","45,21%"
"GALICIA","MULLERES","208.696","54,79%"

"A.S. A CORUÑA E CEE","HOMES","38.201","44,85%"
"A.S. A CORUÑA E CEE","MULLERES","46.978","55,15%"
"A.S. FERROL","HOMES","12.444","44,63%"
"A.S. FERROL","MULLERES","15.440","55,37%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.498","44,82%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","24.008","55,18%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.760","44,39%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","26.003","55,61%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.398","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.312","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.768","45,88%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.860","54,12%"
"A.S. VIGO","HOMES","39.013","45,91%"
"A.S. VIGO","MULLERES","45.967","54,09%"
"SEN A.S. ASIGNADA","HOMES","111","46,44%"
"SEN A.S. ASIGNADA","MULLERES","128","53,56%"
