Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","135.741","46,3%"
"GALICIA","MULLERES","157.427","53,7%"

"A.S. A CORUÑA E CEE","HOMES","29.469","46,38%"
"A.S. A CORUÑA E CEE","MULLERES","34.072","53,62%"
"A.S. FERROL","HOMES","8.779","46,21%"
"A.S. FERROL","MULLERES","10.219","53,79%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","14.709","45,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","17.476","54,3%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","16.105","45,44%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","19.337","54,56%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","15.966","46,43%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","18.418","53,57%"
"A.S. SANTIAGO E BARBANZA","HOMES","18.092","46,52%"
"A.S. SANTIAGO E BARBANZA","MULLERES","20.802","53,48%"
"A.S. VIGO","HOMES","32.596","46,78%"
"A.S. VIGO","MULLERES","37.080","53,22%"
"SEN A.S. ASIGNADA","HOMES","25","52,08%"
"SEN A.S. ASIGNADA","MULLERES","23","47,92%"
