Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","168.305","45,1%"
"GALICIA","MULLERES","204.883","54,9%"

"A.S. A CORUÑA E CEE","HOMES","37.219","44,78%"
"A.S. A CORUÑA E CEE","MULLERES","45.903","55,22%"
"A.S. FERROL","HOMES","12.128","44,48%"
"A.S. FERROL","MULLERES","15.136","55,52%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.803","44,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.394","55,44%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.316","44,17%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.675","55,83%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.146","45,35%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.074","54,65%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.185","45,74%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.320","54,26%"
"A.S. VIGO","HOMES","38.392","45,9%"
"A.S. VIGO","MULLERES","45.249","54,1%"
"SEN A.S. ASIGNADA","HOMES","116","46,77%"
"SEN A.S. ASIGNADA","MULLERES","132","53,23%"
