Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","122.668","46,8%"
"GALICIA","MULLERES","139.466","53,2%"

"A.S. A CORUÑA E CEE","HOMES","26.592","46,85%"
"A.S. A CORUÑA E CEE","MULLERES","30.169","53,15%"
"A.S. FERROL","HOMES","8.053","46,67%"
"A.S. FERROL","MULLERES","9.202","53,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","13.046","46,54%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","14.984","53,46%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","14.496","46,36%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","16.771","53,64%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","14.479","46,8%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","16.462","53,2%"
"A.S. SANTIAGO E BARBANZA","HOMES","16.239","46,83%"
"A.S. SANTIAGO E BARBANZA","MULLERES","18.440","53,17%"
"A.S. VIGO","HOMES","29.763","47,09%"
"A.S. VIGO","MULLERES","33.438","52,91%"
