Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","53.733","46,67%"
"GALICIA","MULLERES","61.409","53,33%"

"A.S. A CORUÑA E CEE","HOMES","12.752","46,9%"
"A.S. A CORUÑA E CEE","MULLERES","14.439","53,1%"
"A.S. FERROL","HOMES","3.734","45,69%"
"A.S. FERROL","MULLERES","4.439","54,31%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.687","46,75%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.479","53,25%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.455","46,18%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.523","53,82%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","6.081","47,13%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.821","52,87%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.995","47,22%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.937","52,78%"
"A.S. VIGO","HOMES","11.029","46,34%"
"A.S. VIGO","MULLERES","12.771","53,66%"
