Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","158.473","45%"
"GALICIA","MULLERES","193.665","55%"

"A.S. A CORUÑA E CEE","HOMES","34.632","44,79%"
"A.S. A CORUÑA E CEE","MULLERES","42.688","55,21%"
"A.S. FERROL","HOMES","11.104","44,34%"
"A.S. FERROL","MULLERES","13.940","55,66%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.569","44,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.130","55,74%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.100","43,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.357","56,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.221","45,24%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.059","54,76%"
"A.S. SANTIAGO E BARBANZA","HOMES","20.938","45,66%"
"A.S. SANTIAGO E BARBANZA","MULLERES","24.921","54,34%"
"A.S. VIGO","HOMES","36.807","45,86%"
"A.S. VIGO","MULLERES","43.460","54,14%"
"SEN A.S. ASIGNADA","HOMES","102","48,11%"
"SEN A.S. ASIGNADA","MULLERES","110","51,89%"
