Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","162.813","44,97%"
"GALICIA","MULLERES","199.225","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.862","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","44.301","55,26%"
"A.S. FERROL","HOMES","11.577","44,29%"
"A.S. FERROL","MULLERES","14.565","55,71%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.063","44,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.712","55,7%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.667","43,94%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.088","56,06%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.643","45,2%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.603","54,8%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.395","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.506","54,38%"
"A.S. VIGO","HOMES","37.483","45,82%"
"A.S. VIGO","MULLERES","44.317","54,18%"
"SEN A.S. ASIGNADA","HOMES","123","48,05%"
"SEN A.S. ASIGNADA","MULLERES","133","51,95%"
