Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","168.153","45,1%"
"GALICIA","MULLERES","204.709","54,9%"

"A.S. A CORUÑA E CEE","HOMES","37.170","44,77%"
"A.S. A CORUÑA E CEE","MULLERES","45.855","55,23%"
"A.S. FERROL","HOMES","12.110","44,49%"
"A.S. FERROL","MULLERES","15.112","55,51%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.789","44,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.378","55,44%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.311","44,19%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.654","55,81%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.133","45,35%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.058","54,65%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.167","45,75%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.288","54,25%"
"A.S. VIGO","HOMES","38.357","45,89%"
"A.S. VIGO","MULLERES","45.233","54,11%"
"SEN A.S. ASIGNADA","HOMES","116","46,96%"
"SEN A.S. ASIGNADA","MULLERES","131","53,04%"
