Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","165.273","45,02%"
"GALICIA","MULLERES","201.838","54,98%"

"A.S. A CORUÑA E CEE","HOMES","36.480","44,75%"
"A.S. A CORUÑA E CEE","MULLERES","45.045","55,25%"
"A.S. FERROL","HOMES","11.851","44,43%"
"A.S. FERROL","MULLERES","14.825","55,57%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.393","44,38%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.048","55,62%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.910","44,03%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.309","55,97%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.872","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.852","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.764","45,66%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.903","54,34%"
"A.S. VIGO","HOMES","37.882","45,86%"
"A.S. VIGO","MULLERES","44.722","54,14%"
"SEN A.S. ASIGNADA","HOMES","121","47,45%"
"SEN A.S. ASIGNADA","MULLERES","134","52,55%"
