Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","171.019","45,18%"
"GALICIA","MULLERES","207.530","54,82%"

"A.S. A CORUÑA E CEE","HOMES","37.888","44,83%"
"A.S. A CORUÑA E CEE","MULLERES","46.620","55,17%"
"A.S. FERROL","HOMES","12.378","44,61%"
"A.S. FERROL","MULLERES","15.370","55,39%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.276","44,73%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.819","55,27%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.593","44,29%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.902","55,71%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.354","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.259","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.541","45,79%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.682","54,21%"
"A.S. VIGO","HOMES","38.874","45,94%"
"A.S. VIGO","MULLERES","45.750","54,06%"
"SEN A.S. ASIGNADA","HOMES","115","47,33%"
"SEN A.S. ASIGNADA","MULLERES","128","52,67%"
