Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","162.255","44,97%"
"GALICIA","MULLERES","198.515","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.689","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","44.083","55,26%"
"A.S. FERROL","HOMES","11.502","44,32%"
"A.S. FERROL","MULLERES","14.451","55,68%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.010","44,31%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.637","55,69%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.617","43,93%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.038","56,07%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.581","45,18%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.547","54,82%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.350","45,64%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.433","54,36%"
"A.S. VIGO","HOMES","37.382","45,83%"
"A.S. VIGO","MULLERES","44.193","54,17%"
"SEN A.S. ASIGNADA","HOMES","124","48,25%"
"SEN A.S. ASIGNADA","MULLERES","133","51,75%"
