Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","167.188","45,08%"
"GALICIA","MULLERES","203.709","54,92%"

"A.S. A CORUÑA E CEE","HOMES","36.893","44,76%"
"A.S. A CORUÑA E CEE","MULLERES","45.523","55,24%"
"A.S. FERROL","HOMES","12.038","44,48%"
"A.S. FERROL","MULLERES","15.024","55,52%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.687","44,55%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.258","55,45%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.200","44,13%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.570","55,87%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.029","45,3%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.981","54,7%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.038","45,71%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.177","54,29%"
"A.S. VIGO","HOMES","38.185","45,88%"
"A.S. VIGO","MULLERES","45.044","54,12%"
"SEN A.S. ASIGNADA","HOMES","118","47,2%"
"SEN A.S. ASIGNADA","MULLERES","132","52,8%"
