Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","48.823","46,39%"
"GALICIA","MULLERES","56.426","53,61%"

"A.S. A CORUÑA E CEE","HOMES","11.670","46,66%"
"A.S. A CORUÑA E CEE","MULLERES","13.343","53,34%"
"A.S. FERROL","HOMES","3.544","45,67%"
"A.S. FERROL","MULLERES","4.216","54,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.238","46,56%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.013","53,44%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.003","45,76%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.116","54,24%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.391","46,68%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.159","53,32%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.328","47,02%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.256","52,98%"
"A.S. VIGO","HOMES","9.649","46,01%"
"A.S. VIGO","MULLERES","11.323","53,99%"
