Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","49.454","46,42%"
"GALICIA","MULLERES","57.078","53,58%"

"A.S. A CORUÑA E CEE","HOMES","11.812","46,71%"
"A.S. A CORUÑA E CEE","MULLERES","13.477","53,29%"
"A.S. FERROL","HOMES","3.561","45,65%"
"A.S. FERROL","MULLERES","4.240","54,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.279","46,57%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.056","53,43%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.061","45,78%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.177","54,22%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.499","46,75%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.263","53,25%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.423","46,95%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.386","53,05%"
"A.S. VIGO","HOMES","9.819","46,1%"
"A.S. VIGO","MULLERES","11.479","53,9%"
