Fecha,Area_Sanitaria,Hospital,Tipo_Hospital,Camas_Ocupadas_HOS,Camas_Ocupadas_UC
2023-12-27 18:00:00,"A.S. A CORUÑA E CEE","C.H.U. A CORUÑA","PÚBLICO","35","1"
2023-12-27 18:00:00,"A.S. A CORUÑA E CEE","H.PUBLICO VIRXE DA XUNQUEIRA","PÚBLICO","3","0"
2023-12-27 18:00:00,"A.S. FERROL","C.H.U. DE FERROL","PÚBLICO","7","0"
2023-12-27 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","C.H.U. DE LUGO","PÚBLICO","10","0"
2023-12-27 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","H.PUBLICO DA MARIÑA","PÚBLICO","5","0"
2023-12-27 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","H.PUBLICO DE MONFORTE","PÚBLICO","1","0"
2023-12-27 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","C.H.U. DE OURENSE","PÚBLICO","20","0"
2023-12-27 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","H.PUBLICO DE VALDEORRAS","PÚBLICO","1","0"
2023-12-27 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","H.PUBLICO DE VERIN","PÚBLICO","0","0"
2023-12-27 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","C.H.U. DE PONTEVEDRA","PÚBLICO","21","1"
2023-12-27 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","H.PUBLICO DO SALNES","PÚBLICO","4","0"
2023-12-27 18:00:00,"A.S. SANTIAGO E BARBANZA","C.H.U. DE SANTIAGO","PÚBLICO","22","1"
2023-12-27 18:00:00,"A.S. SANTIAGO E BARBANZA","H.PUBLICO DA BARBANZA","PÚBLICO","2","0"
2023-12-27 18:00:00,"A.S. VIGO","C.H.U. DE VIGO","PÚBLICO","18","2"
2023-12-27 18:00:00,"GALICIA","-","-","149","5"
