Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","170.436","45,16%"
"GALICIA","MULLERES","206.997","54,84%"

"A.S. A CORUÑA E CEE","HOMES","37.717","44,81%"
"A.S. A CORUÑA E CEE","MULLERES","46.457","55,19%"
"A.S. FERROL","HOMES","12.322","44,56%"
"A.S. FERROL","MULLERES","15.331","55,44%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.179","44,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.753","55,33%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.520","44,27%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.832","55,73%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.324","45,41%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.235","54,59%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.470","45,78%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.613","54,22%"
"A.S. VIGO","HOMES","38.789","45,94%"
"A.S. VIGO","MULLERES","45.646","54,06%"
"SEN A.S. ASIGNADA","HOMES","115","46,94%"
"SEN A.S. ASIGNADA","MULLERES","130","53,06%"
