Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","21.868","45,67%"
"GALICIA","MULLERES","26.014","54,33%"

"A.S. A CORUÑA E CEE","HOMES","5.024","46,24%"
"A.S. A CORUÑA E CEE","MULLERES","5.840","53,76%"
"A.S. FERROL","HOMES","1.352","43,98%"
"A.S. FERROL","MULLERES","1.722","56,02%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","2.665","45,85%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","3.147","54,15%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","3.160","44,36%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","3.963","55,64%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","2.314","46,39%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","2.674","53,61%"
"A.S. SANTIAGO E BARBANZA","HOMES","3.190","46,35%"
"A.S. SANTIAGO E BARBANZA","MULLERES","3.692","53,65%"
"A.S. VIGO","HOMES","4.163","45,55%"
"A.S. VIGO","MULLERES","4.976","54,45%"
