Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","110.080","47,37%"
"GALICIA","MULLERES","122.309","52,63%"

"A.S. A CORUÑA E CEE","HOMES","23.715","47,38%"
"A.S. A CORUÑA E CEE","MULLERES","26.335","52,62%"
"A.S. FERROL","HOMES","7.250","47,32%"
"A.S. FERROL","MULLERES","8.072","52,68%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","11.443","47,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","12.769","52,74%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","13.073","47,06%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","14.704","52,94%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","13.113","47,51%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","14.488","52,49%"
"A.S. SANTIAGO E BARBANZA","HOMES","14.682","47,37%"
"A.S. SANTIAGO E BARBANZA","MULLERES","16.310","52,63%"
"A.S. VIGO","HOMES","26.804","47,5%"
"A.S. VIGO","MULLERES","29.631","52,5%"
