Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","76.183","47,43%"
"GALICIA","MULLERES","84.452","52,57%"

"A.S. A CORUÑA E CEE","HOMES","17.923","47,48%"
"A.S. A CORUÑA E CEE","MULLERES","19.826","52,52%"
"A.S. FERROL","HOMES","5.024","46,8%"
"A.S. FERROL","MULLERES","5.710","53,2%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.472","47,45%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.383","52,55%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.609","46,94%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.730","53,06%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.741","47,5%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.662","52,5%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.689","47,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.624","52,1%"
"A.S. VIGO","HOMES","16.725","47,46%"
"A.S. VIGO","MULLERES","18.517","52,54%"
