Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","173.621","45,24%"
"GALICIA","MULLERES","210.125","54,76%"

"A.S. A CORUÑA E CEE","HOMES","38.569","44,89%"
"A.S. A CORUÑA E CEE","MULLERES","47.342","55,11%"
"A.S. FERROL","HOMES","12.520","44,64%"
"A.S. FERROL","MULLERES","15.527","55,36%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.726","44,87%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","24.233","55,13%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.945","44,47%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","26.151","55,53%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.517","45,43%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.446","54,57%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.998","45,94%"
"A.S. SANTIAGO E BARBANZA","MULLERES","27.065","54,06%"
"A.S. VIGO","HOMES","39.237","45,91%"
"A.S. VIGO","MULLERES","46.236","54,09%"
"SEN A.S. ASIGNADA","HOMES","109","46,58%"
"SEN A.S. ASIGNADA","MULLERES","125","53,42%"
