Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","75.745","47,42%"
"GALICIA","MULLERES","83.977","52,58%"

"A.S. A CORUÑA E CEE","HOMES","17.810","47,47%"
"A.S. A CORUÑA E CEE","MULLERES","19.709","52,53%"
"A.S. FERROL","HOMES","4.978","46,74%"
"A.S. FERROL","MULLERES","5.672","53,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.438","47,46%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.342","52,54%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.518","46,93%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.633","53,07%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.700","47,51%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.611","52,49%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.645","47,92%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.570","52,08%"
"A.S. VIGO","HOMES","16.656","47,46%"
"A.S. VIGO","MULLERES","18.440","52,54%"
