Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.928","44,99%"
"GALICIA","MULLERES","200.471","55,01%"

"A.S. A CORUÑA E CEE","HOMES","36.136","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.646","55,27%"
"A.S. FERROL","HOMES","11.701","44,33%"
"A.S. FERROL","MULLERES","14.697","55,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.219","44,34%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.871","55,66%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.770","43,97%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.190","56,03%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.775","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.737","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.554","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.698","54,38%"
"A.S. VIGO","HOMES","37.652","45,83%"
"A.S. VIGO","MULLERES","44.497","54,17%"
"SEN A.S. ASIGNADA","HOMES","121","47,27%"
"SEN A.S. ASIGNADA","MULLERES","135","52,73%"
