Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","75.962","47,42%"
"GALICIA","MULLERES","84.212","52,58%"

"A.S. A CORUÑA E CEE","HOMES","17.856","47,47%"
"A.S. A CORUÑA E CEE","MULLERES","19.761","52,53%"
"A.S. FERROL","HOMES","5.000","46,79%"
"A.S. FERROL","MULLERES","5.685","53,21%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.457","47,46%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.364","52,54%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.569","46,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.681","53,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.723","47,5%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.642","52,5%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.667","47,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.600","52,1%"
"A.S. VIGO","HOMES","16.690","47,46%"
"A.S. VIGO","MULLERES","18.479","52,54%"
