Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","23.315","45,61%"
"GALICIA","MULLERES","27.798","54,39%"

"A.S. A CORUÑA E CEE","HOMES","5.292","46,13%"
"A.S. A CORUÑA E CEE","MULLERES","6.181","53,87%"
"A.S. FERROL","HOMES","1.467","44,25%"
"A.S. FERROL","MULLERES","1.848","55,75%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","2.827","45,73%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","3.355","54,27%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","3.258","44,45%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","4.071","55,55%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","2.492","45,76%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","2.954","54,24%"
"A.S. SANTIAGO E BARBANZA","HOMES","3.417","46,6%"
"A.S. SANTIAGO E BARBANZA","MULLERES","3.916","53,4%"
"A.S. VIGO","HOMES","4.562","45,46%"
"A.S. VIGO","MULLERES","5.473","54,54%"
