Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","135.933","46,29%"
"GALICIA","MULLERES","157.731","53,71%"

"A.S. A CORUÑA E CEE","HOMES","29.499","46,35%"
"A.S. A CORUÑA E CEE","MULLERES","34.145","53,65%"
"A.S. FERROL","HOMES","8.791","46,18%"
"A.S. FERROL","MULLERES","10.245","53,82%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","14.731","45,68%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","17.518","54,32%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","16.138","45,42%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","19.393","54,58%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","15.980","46,43%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","18.438","53,57%"
"A.S. SANTIAGO E BARBANZA","HOMES","18.132","46,52%"
"A.S. SANTIAGO E BARBANZA","MULLERES","20.843","53,48%"
"A.S. VIGO","HOMES","32.637","46,78%"
"A.S. VIGO","MULLERES","37.126","53,22%"
"SEN A.S. ASIGNADA","HOMES","25","52,08%"
"SEN A.S. ASIGNADA","MULLERES","23","47,92%"
