Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","73.616","47,47%"
"GALICIA","MULLERES","81.470","52,53%"

"A.S. A CORUÑA E CEE","HOMES","17.292","47,52%"
"A.S. A CORUÑA E CEE","MULLERES","19.094","52,48%"
"A.S. FERROL","HOMES","4.903","46,74%"
"A.S. FERROL","MULLERES","5.587","53,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.000","47,5%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","8.843","52,5%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.266","47,02%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.315","52,98%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.584","47,58%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.459","52,42%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.320","47,93%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.210","52,07%"
"A.S. VIGO","HOMES","16.251","47,5%"
"A.S. VIGO","MULLERES","17.962","52,5%"
