Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","109.136","47,42%"
"GALICIA","MULLERES","121.022","52,58%"

"A.S. A CORUÑA E CEE","HOMES","23.568","47,42%"
"A.S. A CORUÑA E CEE","MULLERES","26.132","52,58%"
"A.S. FERROL","HOMES","7.182","47,39%"
"A.S. FERROL","MULLERES","7.974","52,61%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","11.341","47,36%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","12.605","52,64%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","12.976","47,1%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","14.573","52,9%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","13.062","47,53%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","14.419","52,47%"
"A.S. SANTIAGO E BARBANZA","HOMES","14.586","47,37%"
"A.S. SANTIAGO E BARBANZA","MULLERES","16.206","52,63%"
"A.S. VIGO","HOMES","26.421","47,58%"
"A.S. VIGO","MULLERES","29.113","52,42%"
