Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","171.208","45,18%"
"GALICIA","MULLERES","207.719","54,82%"

"A.S. A CORUÑA E CEE","HOMES","37.926","44,84%"
"A.S. A CORUÑA E CEE","MULLERES","46.655","55,16%"
"A.S. FERROL","HOMES","12.393","44,63%"
"A.S. FERROL","MULLERES","15.376","55,37%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.307","44,74%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.849","55,26%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.625","44,3%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.936","55,7%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.361","45,41%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.274","54,59%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.590","45,81%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.717","54,19%"
"A.S. VIGO","HOMES","38.892","45,93%"
"A.S. VIGO","MULLERES","45.783","54,07%"
"SEN A.S. ASIGNADA","HOMES","114","46,91%"
"SEN A.S. ASIGNADA","MULLERES","129","53,09%"
