Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","47.273","46,32%"
"GALICIA","MULLERES","54.774","53,68%"

"A.S. A CORUÑA E CEE","HOMES","11.164","46,58%"
"A.S. A CORUÑA E CEE","MULLERES","12.801","53,42%"
"A.S. FERROL","HOMES","3.445","45,59%"
"A.S. FERROL","MULLERES","4.111","54,41%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.087","46,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","5.900","53,7%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","5.919","45,77%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.014","54,23%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.229","46,49%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.019","53,51%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.161","47,02%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.070","52,98%"
"A.S. VIGO","HOMES","9.268","46,05%"
"A.S. VIGO","MULLERES","10.859","53,95%"
