Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","44.663","46,29%"
"GALICIA","MULLERES","51.814","53,71%"

"A.S. A CORUÑA E CEE","HOMES","10.360","46,57%"
"A.S. A CORUÑA E CEE","MULLERES","11.888","53,43%"
"A.S. FERROL","HOMES","3.218","45,64%"
"A.S. FERROL","MULLERES","3.833","54,36%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","4.822","46,34%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","5.584","53,66%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","5.742","45,68%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","6.827","54,32%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","4.886","46,35%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","5.655","53,65%"
"A.S. SANTIAGO E BARBANZA","HOMES","6.883","46,96%"
"A.S. SANTIAGO E BARBANZA","MULLERES","7.775","53,04%"
"A.S. VIGO","HOMES","8.752","46,05%"
"A.S. VIGO","MULLERES","10.252","53,95%"
