Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","75.661","47,42%"
"GALICIA","MULLERES","83.879","52,58%"

"A.S. A CORUÑA E CEE","HOMES","17.782","47,47%"
"A.S. A CORUÑA E CEE","MULLERES","19.679","52,53%"
"A.S. FERROL","HOMES","4.973","46,73%"
"A.S. FERROL","MULLERES","5.669","53,27%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.433","47,45%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.338","52,55%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.510","46,93%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.622","53,07%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.695","47,52%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.604","52,48%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.629","47,92%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.550","52,08%"
"A.S. VIGO","HOMES","16.639","47,46%"
"A.S. VIGO","MULLERES","18.417","52,54%"
