Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","171.131","45,18%"
"GALICIA","MULLERES","207.648","54,82%"

"A.S. A CORUÑA E CEE","HOMES","37.906","44,84%"
"A.S. A CORUÑA E CEE","MULLERES","46.639","55,16%"
"A.S. FERROL","HOMES","12.384","44,6%"
"A.S. FERROL","MULLERES","15.381","55,4%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.295","44,75%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.827","55,25%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.616","44,3%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.920","55,7%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.362","45,41%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.275","54,59%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.568","45,8%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.707","54,2%"
"A.S. VIGO","HOMES","38.885","45,93%"
"A.S. VIGO","MULLERES","45.770","54,07%"
"SEN A.S. ASIGNADA","HOMES","115","47,13%"
"SEN A.S. ASIGNADA","MULLERES","129","52,87%"
