Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","76.152","47,43%"
"GALICIA","MULLERES","84.402","52,57%"

"A.S. A CORUÑA E CEE","HOMES","17.914","47,48%"
"A.S. A CORUÑA E CEE","MULLERES","19.812","52,52%"
"A.S. FERROL","HOMES","5.022","46,8%"
"A.S. FERROL","MULLERES","5.709","53,2%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.471","47,46%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.379","52,54%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.603","46,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.716","53,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.738","47,51%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.653","52,49%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.684","47,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.622","52,1%"
"A.S. VIGO","HOMES","16.720","47,46%"
"A.S. VIGO","MULLERES","18.511","52,54%"
