Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.295","44,98%"
"GALICIA","MULLERES","199.749","55,02%"

"A.S. A CORUÑA E CEE","HOMES","35.956","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.436","55,27%"
"A.S. FERROL","HOMES","11.632","44,3%"
"A.S. FERROL","MULLERES","14.623","55,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.149","44,33%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.795","55,67%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.709","43,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.128","56,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.707","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.655","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.468","45,63%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.584","54,37%"
"A.S. VIGO","HOMES","37.551","45,82%"
"A.S. VIGO","MULLERES","44.394","54,18%"
"SEN A.S. ASIGNADA","HOMES","123","47,86%"
"SEN A.S. ASIGNADA","MULLERES","134","52,14%"
