Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","162.838","44,97%"
"GALICIA","MULLERES","199.256","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.866","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","44.305","55,26%"
"A.S. FERROL","HOMES","11.579","44,28%"
"A.S. FERROL","MULLERES","14.571","55,72%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.069","44,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.718","55,7%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.670","43,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.089","56,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.643","45,2%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.606","54,8%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.399","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.508","54,38%"
"A.S. VIGO","HOMES","37.489","45,82%"
"A.S. VIGO","MULLERES","44.326","54,18%"
"SEN A.S. ASIGNADA","HOMES","123","48,05%"
"SEN A.S. ASIGNADA","MULLERES","133","51,95%"
