Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","100.831","47,54%"
"GALICIA","MULLERES","111.245","52,46%"

"A.S. A CORUÑA E CEE","HOMES","21.757","47,56%"
"A.S. A CORUÑA E CEE","MULLERES","23.994","52,44%"
"A.S. FERROL","HOMES","6.443","47,5%"
"A.S. FERROL","MULLERES","7.121","52,5%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","10.473","47,55%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","11.553","52,45%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","12.054","47,34%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","13.409","52,66%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","12.180","47,6%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","13.407","52,4%"
"A.S. SANTIAGO E BARBANZA","HOMES","13.514","47,46%"
"A.S. SANTIAGO E BARBANZA","MULLERES","14.961","52,54%"
"A.S. VIGO","HOMES","24.410","47,67%"
"A.S. VIGO","MULLERES","26.800","52,33%"
