Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","167.458","45,09%"
"GALICIA","MULLERES","203.956","54,91%"

"A.S. A CORUÑA E CEE","HOMES","36.983","44,77%"
"A.S. A CORUÑA E CEE","MULLERES","45.616","55,23%"
"A.S. FERROL","HOMES","12.059","44,49%"
"A.S. FERROL","MULLERES","15.043","55,51%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.721","44,58%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.275","55,42%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.234","44,17%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.579","55,83%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.053","45,3%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.003","54,7%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.069","45,72%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.206","54,28%"
"A.S. VIGO","HOMES","38.222","45,87%"
"A.S. VIGO","MULLERES","45.102","54,13%"
"SEN A.S. ASIGNADA","HOMES","117","46,99%"
"SEN A.S. ASIGNADA","MULLERES","132","53,01%"
