Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","167.722","45,09%"
"GALICIA","MULLERES","204.237","54,91%"

"A.S. A CORUÑA E CEE","HOMES","37.086","44,8%"
"A.S. A CORUÑA E CEE","MULLERES","45.699","55,2%"
"A.S. FERROL","HOMES","12.076","44,49%"
"A.S. FERROL","MULLERES","15.065","55,51%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.741","44,55%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.326","55,45%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.253","44,17%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.596","55,83%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.082","45,32%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.019","54,68%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.091","45,7%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.249","54,3%"
"A.S. VIGO","HOMES","38.276","45,88%"
"A.S. VIGO","MULLERES","45.152","54,12%"
"SEN A.S. ASIGNADA","HOMES","117","47,18%"
"SEN A.S. ASIGNADA","MULLERES","131","52,82%"
