Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","80.738","47,52%"
"GALICIA","MULLERES","89.148","52,48%"

"A.S. A CORUÑA E CEE","HOMES","18.543","47,5%"
"A.S. A CORUÑA E CEE","MULLERES","20.494","52,5%"
"A.S. FERROL","HOMES","5.230","46,88%"
"A.S. FERROL","MULLERES","5.926","53,12%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.854","47,52%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.779","52,48%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","9.730","47,3%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","10.839","52,7%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","9.259","47,58%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","10.199","52,42%"
"A.S. SANTIAGO E BARBANZA","HOMES","11.011","47,94%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.957","52,06%"
"A.S. VIGO","HOMES","18.111","47,58%"
"A.S. VIGO","MULLERES","19.954","52,42%"
