Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","32.672","45,98%"
"GALICIA","MULLERES","38.383","54,02%"

"A.S. A CORUÑA E CEE","HOMES","7.305","46,32%"
"A.S. A CORUÑA E CEE","MULLERES","8.467","53,68%"
"A.S. FERROL","HOMES","2.191","45,42%"
"A.S. FERROL","MULLERES","2.633","54,58%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","3.598","45,75%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","4.266","54,25%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","4.389","45,38%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","5.283","54,62%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","3.473","46,18%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","4.048","53,82%"
"A.S. SANTIAGO E BARBANZA","HOMES","5.210","46,74%"
"A.S. SANTIAGO E BARBANZA","MULLERES","5.937","53,26%"
"A.S. VIGO","HOMES","6.506","45,64%"
"A.S. VIGO","MULLERES","7.749","54,36%"
