Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.698","44,98%"
"GALICIA","MULLERES","200.220","55,02%"

"A.S. A CORUÑA E CEE","HOMES","36.069","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.577","55,27%"
"A.S. FERROL","HOMES","11.684","44,33%"
"A.S. FERROL","MULLERES","14.673","55,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.201","44,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.838","55,65%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.741","43,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.167","56,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.751","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.707","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.517","45,61%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.660","54,39%"
"A.S. VIGO","HOMES","37.614","45,83%"
"A.S. VIGO","MULLERES","44.463","54,17%"
"SEN A.S. ASIGNADA","HOMES","121","47,27%"
"SEN A.S. ASIGNADA","MULLERES","135","52,73%"
