Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","162.792","44,97%"
"GALICIA","MULLERES","199.203","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.851","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","44.294","55,27%"
"A.S. FERROL","HOMES","11.572","44,28%"
"A.S. FERROL","MULLERES","14.561","55,72%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.062","44,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.713","55,7%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.664","43,94%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.085","56,06%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.643","45,2%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.601","54,8%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.395","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.506","54,38%"
"A.S. VIGO","HOMES","37.482","45,83%"
"A.S. VIGO","MULLERES","44.310","54,17%"
"SEN A.S. ASIGNADA","HOMES","123","48,05%"
"SEN A.S. ASIGNADA","MULLERES","133","51,95%"
