Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","164.153","44,99%"
"GALICIA","MULLERES","200.683","55,01%"

"A.S. A CORUÑA E CEE","HOMES","36.181","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","44.693","55,26%"
"A.S. FERROL","HOMES","11.719","44,33%"
"A.S. FERROL","MULLERES","14.719","55,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.257","44,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.909","55,65%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.806","44%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.207","56%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.789","45,22%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.757","54,78%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.591","45,63%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.722","54,37%"
"A.S. VIGO","HOMES","37.689","45,83%"
"A.S. VIGO","MULLERES","44.542","54,17%"
"SEN A.S. ASIGNADA","HOMES","121","47,45%"
"SEN A.S. ASIGNADA","MULLERES","134","52,55%"
