Fecha,Area_Sanitaria,Casos_Abiertos,Pruebas_PCR_Realizadas,Porcentaje_Infecciones
2020-02-14,"A.S. PONTEVEDRA E O SALNÉS","0","1","0%"
2020-02-14,"GALICIA","0","1","0%"
2020-02-17,"A.S. VIGO","0","2","0%"
2020-02-17,"GALICIA","0","2","0%"
2020-02-21,"A.S. VIGO","0","4","0%"
2020-02-21,"GALICIA","0","4","0%"
2020-02-24,"A.S. A CORUÑA E CEE","0","3","0%"
2020-02-24,"A.S. VIGO","0","2","0%"
2020-02-24,"GALICIA","0","5","0%"
2020-02-25,"A.S. A CORUÑA E CEE","0","2","0%"
2020-02-25,"A.S. VIGO","0","1","0%"
2020-02-25,"GALICIA","0","3","0%"
2020-02-26,"A.S. A CORUÑA E CEE","0","9","0%"
2020-02-26,"A.S. OURENSE, VERÍN E O BARCO","0","4","0%"
2020-02-26,"A.S. VIGO","0","5","0%"
2020-02-26,"GALICIA","0","18","0%"
2020-02-27,"A.S. A CORUÑA E CEE","0","8","0%"
2020-02-27,"A.S. LUGO, A MARIÑA E MONFORTE","0","3","0%"
2020-02-27,"A.S. OURENSE, VERÍN E O BARCO","0","2","0%"
2020-02-27,"A.S. VIGO","0","8","0%"
2020-02-27,"GALICIA","0","21","0%"
2020-02-28,"A.S. A CORUÑA E CEE","0","3","0%"
2020-02-28,"A.S. LUGO, A MARIÑA E MONFORTE","0","1","0%"
2020-02-28,"A.S. PONTEVEDRA E O SALNÉS","0","4","0%"
2020-02-28,"A.S. SANTIAGO E BARBANZA","0","2","0%"
2020-02-28,"A.S. VIGO","0","10","0%"
2020-02-28,"GALICIA","0","20","0%"
2020-02-29,"A.S. A CORUÑA E CEE","0","2","0%"
2020-02-29,"A.S. OURENSE, VERÍN E O BARCO","0","1","0%"
2020-02-29,"A.S. PONTEVEDRA E O SALNÉS","0","1","0%"
2020-02-29,"A.S. SANTIAGO E BARBANZA","0","3","0%"
2020-02-29,"A.S. VIGO","0","9","0%"
2020-02-29,"GALICIA","0","16","0%"
2020-03-01,"A.S. SANTIAGO E BARBANZA","0","1","0%"
2020-03-01,"A.S. VIGO","0","4","0%"
2020-03-01,"GALICIA","0","5","0%"
2020-03-02,"A.S. A CORUÑA E CEE","0","5","0%"
2020-03-02,"A.S. OURENSE, VERÍN E O BARCO","0","1","0%"
2020-03-02,"A.S. PONTEVEDRA E O SALNÉS","0","1","0%"
2020-03-02,"A.S. SANTIAGO E BARBANZA","0","2","0%"
2020-03-02,"A.S. VIGO","0","1","0%"
2020-03-02,"GALICIA","0","10","0%"
2020-03-03,"A.S. A CORUÑA E CEE","0","10","0%"
2020-03-03,"A.S. FERROL","0","3","0%"
2020-03-03,"A.S. LUGO, A MARIÑA E MONFORTE","0","2","0%"
2020-03-03,"A.S. PONTEVEDRA E O SALNÉS","0","1","0%"
2020-03-03,"A.S. SANTIAGO E BARBANZA","0","2","0%"
2020-03-03,"A.S. VIGO","0","11","0%"
2020-03-03,"GALICIA","0","29","0%"
2020-03-04,"A.S. A CORUÑA E CEE","0","10","0%"
2020-03-04,"A.S. FERROL","0","1","0%"
2020-03-04,"A.S. OURENSE, VERÍN E O BARCO","0","4","0%"
2020-03-04,"A.S. PONTEVEDRA E O SALNÉS","0","2","0%"
2020-03-04,"A.S. SANTIAGO E BARBANZA","0","4","0%"
