Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.656","44,98%"
"GALICIA","MULLERES","200.175","55,02%"

"A.S. A CORUÑA E CEE","HOMES","36.054","44,72%"
"A.S. A CORUÑA E CEE","MULLERES","44.561","55,28%"
"A.S. FERROL","HOMES","11.681","44,33%"
"A.S. FERROL","MULLERES","14.669","55,67%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.199","44,35%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.833","55,65%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.738","43,96%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.167","56,04%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.746","45,23%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.704","54,77%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.510","45,61%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.650","54,39%"
"A.S. VIGO","HOMES","37.607","45,83%"
"A.S. VIGO","MULLERES","44.456","54,17%"
"SEN A.S. ASIGNADA","HOMES","121","47,27%"
"SEN A.S. ASIGNADA","MULLERES","135","52,73%"
