Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","163.029","44,97%"
"GALICIA","MULLERES","199.461","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.908","44,74%"
"A.S. A CORUÑA E CEE","MULLERES","44.352","55,26%"
"A.S. FERROL","HOMES","11.600","44,28%"
"A.S. FERROL","MULLERES","14.597","55,72%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.094","44,3%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.751","55,7%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.689","43,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.106","56,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.671","45,21%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.625","54,79%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.416","45,62%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.532","54,38%"
"A.S. VIGO","HOMES","37.528","45,83%"
"A.S. VIGO","MULLERES","44.364","54,17%"
"SEN A.S. ASIGNADA","HOMES","123","47,86%"
"SEN A.S. ASIGNADA","MULLERES","134","52,14%"
