Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","160.470","44,97%"
"GALICIA","MULLERES","196.363","55,03%"

"A.S. A CORUÑA E CEE","HOMES","35.171","44,73%"
"A.S. A CORUÑA E CEE","MULLERES","43.465","55,27%"
"A.S. FERROL","HOMES","11.316","44,31%"
"A.S. FERROL","MULLERES","14.225","55,69%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.826","44,28%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.434","55,72%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.381","43,93%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.738","56,07%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.414","45,19%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.330","54,81%"
"A.S. SANTIAGO E BARBANZA","HOMES","21.153","45,63%"
"A.S. SANTIAGO E BARBANZA","MULLERES","25.207","54,37%"
"A.S. VIGO","HOMES","37.089","45,83%"
"A.S. VIGO","MULLERES","43.832","54,17%"
"SEN A.S. ASIGNADA","HOMES","120","47,62%"
"SEN A.S. ASIGNADA","MULLERES","132","52,38%"
