Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","169.168","45,12%"
"GALICIA","MULLERES","205.754","54,88%"

"A.S. A CORUÑA E CEE","HOMES","37.394","44,79%"
"A.S. A CORUÑA E CEE","MULLERES","46.090","55,21%"
"A.S. FERROL","HOMES","12.214","44,54%"
"A.S. FERROL","MULLERES","15.208","55,46%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","18.979","44,58%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.593","55,42%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.388","44,22%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.722","55,78%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.218","45,38%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.132","54,62%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.325","45,77%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.455","54,23%"
"A.S. VIGO","HOMES","38.535","45,9%"
"A.S. VIGO","MULLERES","45.423","54,1%"
"SEN A.S. ASIGNADA","HOMES","115","46,75%"
"SEN A.S. ASIGNADA","MULLERES","131","53,25%"
