Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","24.194","45,63%"
"GALICIA","MULLERES","28.831","54,37%"

"A.S. A CORUÑA E CEE","HOMES","5.411","46,12%"
"A.S. A CORUÑA E CEE","MULLERES","6.322","53,88%"
"A.S. FERROL","HOMES","1.556","44,29%"
"A.S. FERROL","MULLERES","1.957","55,71%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","2.892","45,8%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","3.423","54,2%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","3.342","44,34%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","4.195","55,66%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","2.616","45,73%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","3.105","54,27%"
"A.S. SANTIAGO E BARBANZA","HOMES","3.599","46,67%"
"A.S. SANTIAGO E BARBANZA","MULLERES","4.112","53,33%"
"A.S. VIGO","HOMES","4.778","45,53%"
"A.S. VIGO","MULLERES","5.717","54,47%"
