Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","75.859","47,42%"
"GALICIA","MULLERES","84.102","52,58%"

"A.S. A CORUÑA E CEE","HOMES","17.841","47,47%"
"A.S. A CORUÑA E CEE","MULLERES","19.742","52,53%"
"A.S. FERROL","HOMES","4.988","46,77%"
"A.S. FERROL","MULLERES","5.677","53,23%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","8.447","47,45%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","9.355","52,55%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","8.536","46,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","9.645","53,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","8.717","47,52%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","9.627","52,48%"
"A.S. SANTIAGO E BARBANZA","HOMES","10.654","47,9%"
"A.S. SANTIAGO E BARBANZA","MULLERES","11.590","52,1%"
"A.S. VIGO","HOMES","16.676","47,45%"
"A.S. VIGO","MULLERES","18.466","52,55%"
