Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","13.873","45,77%"
"GALICIA","MULLERES","16.437","54,23%"

"A.S. A CORUÑA E CEE","HOMES","3.456","46,3%"
"A.S. A CORUÑA E CEE","MULLERES","4.009","53,7%"
"A.S. FERROL","HOMES","671","44,85%"
"A.S. FERROL","MULLERES","825","55,15%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","1.653","44,42%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","2.068","55,58%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","2.529","44,14%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","3.201","55,86%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","1.316","47,68%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","1.444","52,32%"
"A.S. SANTIAGO E BARBANZA","HOMES","2.218","46,72%"
"A.S. SANTIAGO E BARBANZA","MULLERES","2.529","53,28%"
"A.S. VIGO","HOMES","2.030","46,23%"
"A.S. VIGO","MULLERES","2.361","53,77%"
