Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","140.299","46,01%"
"GALICIA","MULLERES","164.630","53,99%"

"A.S. A CORUÑA E CEE","HOMES","30.455","46,02%"
"A.S. A CORUÑA E CEE","MULLERES","35.718","53,98%"
"A.S. FERROL","HOMES","9.295","45,8%"
"A.S. FERROL","MULLERES","10.998","54,2%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","15.272","45,4%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","18.370","54,6%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","16.735","45%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","20.456","55%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","16.385","46,11%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","19.146","53,89%"
"A.S. SANTIAGO E BARBANZA","HOMES","18.647","46,4%"
"A.S. SANTIAGO E BARBANZA","MULLERES","21.538","53,6%"
"A.S. VIGO","HOMES","33.472","46,59%"
"A.S. VIGO","MULLERES","38.376","53,41%"
"SEN A.S. ASIGNADA","HOMES","38","57,58%"
"SEN A.S. ASIGNADA","MULLERES","28","42,42%"
