Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","148.825","45,42%"
"GALICIA","MULLERES","178.805","54,58%"

"A.S. A CORUÑA E CEE","HOMES","32.329","45,38%"
"A.S. A CORUÑA E CEE","MULLERES","38.904","54,62%"
"A.S. FERROL","HOMES","10.212","44,91%"
"A.S. FERROL","MULLERES","12.527","55,09%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","16.345","44,42%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","20.455","55,58%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","17.948","44,48%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","22.405","55,52%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","17.253","45,63%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","20.554","54,37%"
"A.S. SANTIAGO E BARBANZA","HOMES","19.723","46,07%"
"A.S. SANTIAGO E BARBANZA","MULLERES","23.086","53,93%"
"A.S. VIGO","HOMES","34.954","46,13%"
"A.S. VIGO","MULLERES","40.815","53,87%"
"SEN A.S. ASIGNADA","HOMES","61","50,83%"
"SEN A.S. ASIGNADA","MULLERES","59","49,17%"
