Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","47.531","46,34%"
"GALICIA","MULLERES","55.030","53,66%"

"A.S. A CORUÑA E CEE","HOMES","11.271","46,62%"
"A.S. A CORUÑA E CEE","MULLERES","12.907","53,38%"
"A.S. FERROL","HOMES","3.466","45,61%"
"A.S. FERROL","MULLERES","4.133","54,39%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.104","46,29%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","5.922","53,71%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","5.929","45,77%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.026","54,23%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","5.253","46,51%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.042","53,49%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.183","47,04%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.086","52,96%"
"A.S. VIGO","HOMES","9.325","46,07%"
"A.S. VIGO","MULLERES","10.914","53,93%"
