Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","158.785","44,99%"
"GALICIA","MULLERES","194.132","55,01%"

"A.S. A CORUÑA E CEE","HOMES","34.709","44,77%"
"A.S. A CORUÑA E CEE","MULLERES","42.813","55,23%"
"A.S. FERROL","HOMES","11.141","44,3%"
"A.S. FERROL","MULLERES","14.009","55,7%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","17.607","44,25%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","22.179","55,75%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","19.155","43,95%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","24.432","56,05%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","18.253","45,22%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","22.108","54,78%"
"A.S. SANTIAGO E BARBANZA","HOMES","20.962","45,66%"
"A.S. SANTIAGO E BARBANZA","MULLERES","24.949","54,34%"
"A.S. VIGO","HOMES","36.854","45,85%"
"A.S. VIGO","MULLERES","43.525","54,15%"
"SEN A.S. ASIGNADA","HOMES","104","47,06%"
"SEN A.S. ASIGNADA","MULLERES","117","52,94%"
