Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","170.965","45,17%"
"GALICIA","MULLERES","207.500","54,83%"

"A.S. A CORUÑA E CEE","HOMES","37.877","44,83%"
"A.S. A CORUÑA E CEE","MULLERES","46.613","55,17%"
"A.S. FERROL","HOMES","12.369","44,59%"
"A.S. FERROL","MULLERES","15.368","55,41%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","19.263","44,71%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","23.818","55,29%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","20.584","44,29%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","25.895","55,71%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","19.353","45,42%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","23.257","54,58%"
"A.S. SANTIAGO E BARBANZA","HOMES","22.536","45,8%"
"A.S. SANTIAGO E BARBANZA","MULLERES","26.674","54,2%"
"A.S. VIGO","HOMES","38.868","45,94%"
"A.S. VIGO","MULLERES","45.747","54,06%"
"SEN A.S. ASIGNADA","HOMES","115","47,33%"
"SEN A.S. ASIGNADA","MULLERES","128","52,67%"
