Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","134.819","46,35%"
"GALICIA","MULLERES","156.078","53,65%"

"A.S. A CORUÑA E CEE","HOMES","29.292","46,42%"
"A.S. A CORUÑA E CEE","MULLERES","33.806","53,58%"
"A.S. FERROL","HOMES","8.725","46,26%"
"A.S. FERROL","MULLERES","10.137","53,74%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","14.580","45,75%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","17.292","54,25%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","15.904","45,5%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","19.052","54,5%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","15.863","46,46%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","18.281","53,54%"
"A.S. SANTIAGO E BARBANZA","HOMES","17.949","46,52%"
"A.S. SANTIAGO E BARBANZA","MULLERES","20.635","53,48%"
"A.S. VIGO","HOMES","32.482","46,85%"
"A.S. VIGO","MULLERES","36.852","53,15%"
"SEN A.S. ASIGNADA","HOMES","24","51,06%"
"SEN A.S. ASIGNADA","MULLERES","23","48,94%"
