Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","137.408","46,2%"
"GALICIA","MULLERES","159.986","53,8%"

"A.S. A CORUÑA E CEE","HOMES","29.822","46,25%"
"A.S. A CORUÑA E CEE","MULLERES","34.664","53,75%"
"A.S. FERROL","HOMES","8.944","46,08%"
"A.S. FERROL","MULLERES","10.466","53,92%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","14.912","45,54%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","17.836","54,46%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","16.364","45,3%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","19.756","54,7%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","16.121","46,34%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","18.671","53,66%"
"A.S. SANTIAGO E BARBANZA","HOMES","18.296","46,51%"
"A.S. SANTIAGO E BARBANZA","MULLERES","21.042","53,49%"
"A.S. VIGO","HOMES","32.918","46,73%"
"A.S. VIGO","MULLERES","37.527","53,27%"
"SEN A.S. ASIGNADA","HOMES","31","56,36%"
"SEN A.S. ASIGNADA","MULLERES","24","43,64%"
